"season","player_id","player","franchise_id","snaps","WAA","WAR","position"
2006,267,"Bertrand Berry",1,591,-0.078794701986755,-0.046,"ED"
2006,286,"Robert Tate",1,90,-0.0522422680412371,-0.029,"CB"
2006,297,"Obafemi Ayanbadejo",1,239,-0.0133928571428571,0.015,"FB"
2006,396,"Oliver Ross",1,332,-0.00194545454545455,0.028,"T"
2006,414,"Chris Liwienski",1,371,-0.0722539682539683,-0.04,"G"
2006,439,"Edgerrin James",1,782,-0.0510162601626016,0.103,"HB"
2006,493,"Chike Okeafor",1,903,-0.108794701986755,-0.061,"ED"
2006,634,"Kendrick Clancy",1,497,0.00389502762430939,0.049,"DI"
2006,647,"David Macklin",1,436,0.133757731958763,0.235,"CB"
2006,682,"Troy Walters",1,289,-0.0705024630541872,0.014,"WR"
2006,774,"Leonard Davis",1,1036,0.0310545454545455,0.12,"T"
2006,831,"Adrian Wilson",1,1002,0.0674635761589404,0.285,"S"
2006,859,"Orlando Huff",1,714,-0.19337619047619,-0.131,"LB"
2006,862,"Monty Beisel",1,81,0.0436238095238095,0.051,"LB"
2006,909,"Chris Cooper",1,336,-0.00710497237569061,0.02,"DI"
2006,987,"Marcel Shipp",1,87,-0.00801626016260163,0.006,"HB"
2006,999,"Fred Wakefield",1,266,-0.00820353982300885,0.02,"TE"
2006,2955,"Matt Leinart",1,699,-0.165346153846154,1.171,"QB"
2006,2986,"Deuce Lutui",1,584,-0.105253968253968,-0.055,"G"
2006,3017,"Leonard Pope",1,457,-0.0242035398230089,0.095,"TE"
2006,3052,"Gabe Watson",1,256,-0.0601049723756906,-0.038,"DI"
2006,3087,"Brandon Johnson",1,3,0.00662380952380952,0.007,"LB"
2006,3122,"Jonathan Lewis",1,47,-0.0211049723756906,-0.018,"DI"
2006,3361,"Darrell Hunter",1,8,-0.0242422680412371,-0.022,"CB"
2006,3498,"A.J. Schable",1,18,0.00360714285714286,0.005,"FB"
2006,3517,"Micheal Spurlock",1,12,-0.00150246305418719,0.002,"WR"
2006,76,"Wayne Gandy",2,1014,-0.0559454545454545,0.037,"T"
2006,288,"Grady Jackson",2,527,0.0908950276243094,0.144,"DI"
2006,298,"Eric Beverly",2,185,-0.00620353982300885,0.016,"TE"
2006,316,"Kevin Mathis",2,190,-0.000242268041237113,0.058,"CB"
2006,336,"Keith Brooking",2,1034,-0.00537619047619048,0.133,"LB"
2006,361,"Todd Weiner",2,979,0.170054545454545,0.261,"T"
2006,377,"Allen Rossum",2,363,-0.158242268041237,-0.065,"CB"
2006,392,"Lance Schulters",2,60,-0.0255364238410596,-0.017,"S"
2006,398,"Ike Reese",2,39,-0.00637619047619048,-0.001,"LB"
2006,459,"Patrick Kerney",2,394,-0.045794701986755,-0.026,"ED"
2006,519,"Rod Coleman",2,516,0.0438950276243094,0.08,"DI"
2006,536,"Todd McClure",2,1034,0.17014,0.266,"C"
2006,591,"John Abraham",2,262,0.096205298013245,0.11,"ED"
2006,618,"Jason Webster",2,471,-0.160242268041237,-0.046,"CB"
2006,742,"Marlion Jackson",2,3,-0.00201626016260163,-0.001,"HB"
2006,773,"Michael Vick",2,979,0.149653846153846,1.803,"QB"
2006,805,"Alge Crumpler",2,979,0.0787964601769911,0.37,"TE"
2006,874,"Ed Hartwell",2,331,-0.0373761904761905,-0.001,"LB"
2006,880,"Matt Lehr",2,703,-0.126253968253968,-0.06,"G"
2006,926,"Kynan Forney",2,414,0.0507460317460317,0.088,"G"
2006,2723,"Cameron Newton",2,2,-0.0085364238410596,-0.008,"S"
2006,2912,"P.J. Alexander",2,258,-0.139253968253968,-0.118,"G"
2006,2982,"Jimmy Williams",2,242,0.0877577319587629,0.138,"CB"
2006,3024,"Jerious Norwood",2,198,0.0319837398373984,0.073,"HB"
2006,3084,"Quinn Ojinnaka",2,75,0.00905454545454545,0.016,"T"
2006,3129,"Adam Jennings",2,32,-0.0215024630541872,-0.016,"WR"
2006,3265,"Paul Carrington",2,394,-0.153794701986755,-0.131,"ED"
2006,3369,"T.J. Jackson",2,82,0.000895027624309392,0.008,"DI"
2006,271,"Derrick Mason",3,981,0.0954975369458128,0.322,"WR"
2006,304,"Mike Flynn",3,1088,-0.26886,-0.172,"C"
2006,360,"Samari Rolle",3,947,-0.325242268041237,-0.1,"CB"
2006,445,"Chris McAlister",3,1006,0.259757731958763,0.501,"CB"
2006,485,"Gary Stills",3,31,0.013205298013245,0.015,"ED"
2006,508,"Edwin Mulitalo",3,254,-0.0622539682539682,-0.039,"G"
2006,527,"Kelly Gregg",3,645,0.116895027624309,0.177,"DI"
2006,556,"Corey Ivy",3,292,0.102757731958763,0.201,"CB"
2006,583,"Jamal Lewis",3,690,-0.0130162601626016,0.121,"HB"
2006,690,"Adalius Thomas",3,1020,0.176205298013245,0.245,"ED"
2006,693,"Mike Anderson",3,189,-0.00801626016260163,0.023,"HB"
2006,801,"Todd Heap",3,1075,0.115796460176991,0.459,"TE"
2006,998,"Keydrick Vincent",3,838,-0.0982539682539682,-0.023,"G"
2006,2720,"Ike Ndukwe",3,17,-0.0102539682539683,-0.009,"G"
2006,2730,"Evan Oglesby",3,104,-0.0262422680412371,0.002,"CB"
2006,2957,"Haloti Ngata",3,475,0.0188950276243094,0.045,"DI"
2006,3001,"Chris Chester",3,284,-0.0332539682539683,-0.007,"G"
2006,3056,"Demetrius Williams",3,344,-0.0145024630541872,0.08,"WR"
2006,3091,"Dawan Landry",3,904,0.22246357615894,0.433,"S"
2006,3111,"Quinn Sypniewski",3,277,-0.0252035398230088,0.023,"TE"
2006,3153,"Derrick Martin",3,11,-0.00324226804123711,0.001,"CB"
2006,3473,"Ronnie Prude",3,94,0.0597577319587629,0.092,"CB"
2006,3487,"Cory Ross",3,1,0.00198373983739837,0.002,"HB"
2006,287,"Daimon Shelton",4,273,-0.00439285714285714,0.018,"FB"
2006,337,"Takeo Spikes",4,471,-0.13737619047619,-0.095,"LB"
2006,424,"London Fletcher",4,1056,-0.0543761904761905,0.053,"LB"
2006,473,"Peerless Price",4,773,-0.0695024630541872,0.11,"WR"
2006,565,"Ryan Neufeld",4,59,0.00479646017699115,0.016,"TE"
2006,668,"Tutan Reyes",4,367,-0.0882539682539683,-0.055,"G"
2006,680,"Kiwaukee Thomas",4,453,0.149757731958763,0.279,"CB"
2006,791,"Nate Clements",4,1045,0.197757731958763,0.432,"CB"
2006,808,"Anthony Thomas",4,313,-0.0110162601626016,0.044,"HB"
2006,816,"Aaron Schobel",4,828,0.104205298013245,0.149,"ED"
2006,834,"Mike Gandy",4,928,-0.0852539682539682,-0.001,"G"
2006,990,"Josh Stamer",4,5,0.0136238095238095,0.014,"LB"
2006,2694,"Jim Leonhard",4,75,-0.0225364238410596,-0.007,"S"
2006,2953,"Donte Whitner",4,970,-0.0205364238410596,0.171,"S"
2006,2971,"John McCargo",4,100,-0.0141049723756906,-0.006,"DI"
2006,3015,"Ashton Youboty",4,43,-0.0102422680412371,0.003,"CB"
2006,3050,"Ko Simpson",4,1033,-0.0115364238410596,0.19,"S"
2006,3079,"Kyle Williams",4,595,-0.0161049723756906,0.037,"DI"
2006,3088,"Brad Butler",4,5,-0.0182539682539683,-0.018,"G"
2006,3123,"Keith Ellison",4,459,0.0276238095238095,0.073,"LB"
2006,3161,"Terrance Pennington",4,508,-0.00894545454545455,0.038,"T"
2006,3193,"Aaron Merz",4,64,-0.0552539682539682,-0.05,"G"
2006,3295,"John DiGiorgio",4,3,0.0156238095238095,0.016,"LB"
2006,292,"Kris Mangum",5,376,-0.0142035398230088,0.099,"TE"
2006,303,"Jake Delhomme",5,817,-0.111346153846154,1.367,"QB"
2006,305,"Todd Fordham",5,123,-0.0179454545454545,-0.009,"T"
2006,308,"Karl Hankton",5,18,-0.0145024630541872,-0.008,"WR"
2006,325,"Al Wallace",5,395,-0.077794701986755,-0.057,"ED"
2006,329,"Mike Wahle",5,795,0.0687460317460317,0.136,"G"
2006,344,"Shaun Williams",5,765,0.0624635761589404,0.215,"S"
2006,401,"Chris Draft",5,1015,0.12562380952381,0.254,"LB"
2006,465,"Mike Rucker",5,727,-0.095794701986755,-0.057,"ED"
2006,652,"Na'il Diggs",5,562,0.0756238095238095,0.128,"LB"
2006,740,"Brad Hoover",5,538,0.00960714285714286,0.066,"FB"
2006,741,"Reggie Howard",5,13,-0.000242268041237113,0.004,"CB"
2006,781,"Dan Morgan",5,24,0.00962380952380952,0.011,"LB"
2006,782,"Damione Lewis",5,473,0.0128950276243094,0.046,"DI"
2006,810,"Ken Lucas",5,589,0.0737577319587629,0.21,"CB"
2006,814,"Kris Jenkins",5,742,0.132895027624309,0.198,"DI"
2006,837,"Steve Smith",5,830,0.251497536945813,0.441,"WR"
2006,861,"Chris Weinke",5,180,-0.294346153846154,0.055,"QB"
2006,956,"Nick Goings",5,75,0.00698373983739837,0.02,"HB"
2006,2972,"DeAngelo Williams",5,357,0.0229837398373984,0.087,"HB"
2006,3003,"Richard Marshall",5,715,0.270757731958763,0.447,"CB"
2006,3033,"James Anderson",5,226,0.000623809523809523,0.035,"LB"
2006,3100,"Jeff King",5,67,-0.00120353982300885,0.012,"TE"
2006,3179,"Will Montgomery",5,291,-0.12786,-0.1,"C"
2006,3182,"Stanley McClover",5,21,0.023205298013245,0.024,"ED"
2006,3219,"Brett Basanez",5,13,-0.0313461538461538,0.006,"QB"
2006,3231,"Taye Biddle",5,30,-0.0225024630541872,-0.012,"WR"
